rune,head,Serial,familiar,body,background,prop,token_id,numTraits,image,name
Rune of Fire,Seer,8089,Psychic Rabbit,Purple Mantle Robe,Green,Siren's Bell,8089,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8089.png,Archmagus Jeldor of Mu
,Skylord,8090,,Green Scholar,Black,Siren's Bell,8090,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8090.png,Archmagus Ofaris of the Mist
,Medicine Man,8091,,Tech Coat,Black,Emerald Staff,8091,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8091.png,Battle Mage Hothor of the Realm
Rune of Neptune,Enchantress,8092,Emerald Slime,Green Hip Pouch,Black,Crystal Ball,8092,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8092.png,Diviner Devon of the Marsh
Rune of Brass,Wildman,8093,Dirt Rabbit,Brown Harem Pants,Blue,Siren's Harp,8093,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8093.png,Battle Mage Talbot of the Desert
,Koopling,8094,,Robe of Shadow,Black,The Midas Rod,8094,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8094.png,Arch-Magician Bogey in the Shadows
,Houngan,8095,Bliss Cat,Formal Suit,Green,Caduceus,8095,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8095.png,Adept Marceau of the Keep
Rune of Air,Eastern Arcanist,8096,Albino Rat,Aristocrat Blue,Green,Goblet of Immortality,8096,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8096.png,Thaumaturge Ixar of the Citadel
,WereBeast,8097,Plague Rat,Green Scholar,Black,Hobgoblin's Flame: the Wayward Spell,8097,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8097.png,Chaos Mage Ratko of the Sacred Pillars
,Djinn,8098,,Shoulder Cape Red,Black,Red Mushroom,8098,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8098.png,Magus Ifran of the Atheneum
,Dream Master,8099,,Green Scholar,Black,Jinx Staff,8099,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8099.png,Hedge Wizard Qasim of the Obelisk
,Sandman,8100,,Red Coveralls,Black,Joy Staff,8100,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8100.png,Archmagus Jerret of the Lake
Rune of Cinnabar,Wild Woman,8101,Ember Frog,Red Hip Pouch,Green,Salamander's Tongue: the Fire Spell,8101,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8101.png,Witch Shivra of the Reach
,Corvid,8102,Onyx Wolf,Formal Suit,Black,Courage Staff,8102,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8102.png,Runecaster Corvin of the Bastion
,Thelemist,8103,,Robe of Shadow,Black,The Orb Staff,8103,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8103.png,Mystic David of the Quantum Shadow
Rune of Mars,"Master of Wood, Water, and Hill",8104,Sun Cat,Green Big Buckle,Green,Mug of Ale,8104,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8104.png,Battle Mage Magnus of the Wood
,Prophet,8105,,Orange Caped Traveller,Black,The Orb Staff,8105,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8105.png,Cleric Remus of the Court
,MachoMan,8106,,Shoulder Cape Red,Black,Red Mushroom,8106,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8106.png,Magus Dutorn of the Obelisk
Rune of Jupiter,Rogue Arcanist,8107,Merlin's Monkey,Swashbuckling Gear,Black,The Midas Rod,8107,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8107.png,Void Disciple Seth of the Swell
Rune of Fire,Trickster,8108,Swamp Bullfrog,Desert Wear,Green,Salamander's Tongue: the Fire Spell,8108,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8108.png,Sorcerer Jameel of the Dunes
Rune of Saturn,MachoMan,8109,Red Mamba,Green Mantle Robe,Blue,Eternal Rose,8109,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8109.png,Hedge Wizard Nicolas of the Quantum Downs
Rune of Air,WereBeast,8110,Field Dog,Robe of Shadow,Red,Egg of Unknown Beast,8110,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8110.png,Summoner Atlas from the Shadow
Rune of Steel,Tengu Preist,8111,Giant Ladybug,Shoulder Cape Red,Green,Passion Potion,8111,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8111.png,Alchemist Konoha of Elysium
,Imp,8112,,Green Mantle Robe,Blue,Caduceus,8112,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8112.png,Magus Suki of the Quantum Downs
,Warlock,8113,,Green Hip Scarf,Black,Egg of Unknown Beast,8113,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8113.png,Summoner Cairon of the Tower
,Yellow Wizard,8114,,Wicker Wear,Blue,Fairy Glamour: the Dazzle Spell,8114,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8114.png,Archmagus Jerret of the Grotto
Rune of Earth,Dark Sister,8115,Swamp Bullfrog,Green Scholar,Green,Eternal Rose,8115,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8115.png,Enchanter Ariadne of the Keep
Rune of Saturn,"Master of Wood, Water, and Hill",8116,Plague Rat,Brown Coveralls,Blue,Ruby Staff,8116,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8116.png,Druid Gunthor of the River
,Punjabi,8117,,Orange Scholar,Black,Red Mushroom,8117,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8117.png,Magus Alizam of Dreams
Rune of Uranus,Shaolin,8118,Crackerjack Crow,White Tunic,Green,Book of Magic,8118,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8118.png,Enchanter Jianyu of the Ether
Rune of Neptune,ArtChick,8119,Fox Trickster,Rose Yoga,Black,Phoenix Feather,8119,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8119.png,Enchanter Calliope of the Wild
Rune of Steel,Cosmic Arcanist,8120,Onyx Wolf,Yellow Elven Cloak,Red,Candle of Intuition,8120,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8120.png,Archmagus Eizo of Cuckoo Land
Rune of Neptune,Lycanthrope,8121,Giant Ladybug,Cosmic Cardigan,Blue,Astral Potion,8121,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8121.png,Alchemist Cromwell of the Veil
,MachoMan,8122,,White Coveralls,Black,Peace Staff,8122,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8122.png,Shaman Bayard of the Road
Rune of Lime,Animist,8123,Golden Toad,Gold Chain,Green,Joy Staff,8123,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8123.png,Adept Angus of the Hall
Rune of Lime,Animist,8124,Sapphire Slime,Blue Coveralls,Black,Kelpie's Fury: the Water Spell,8124,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8124.png,Battle Mage Tundror of the Forest
Rune of Saturn,Olympian,8125,Crackerjack Crow,Blue Coveralls,Red,Phoenix Feather,8125,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8125.png,Battle Mage Horace of the Hollow
Rune of Air,Rogue Arcanist,8126,Sun Cat,Robe of Shadow,Blue,Salamander's Tongue: the Fire Spell,8126,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8126.png,Pyromancer Xerxes out of the Void
,Warlock,8127,,Green Coveralls,Black,The Orb Staff,8127,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8127.png,Cleric Argus of the Plains
Rune of Sun,Gruffling,8128,Sun Cat,Yellow Elven Cloak,Black,Mandrake Potion,8128,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8128.png,Alchemist Flynn of the Toadstools
,Djinn,8129,,Robe of Shadow,Black,Red Mushroom,8129,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8129.png,Magus Ifran of the Waste
Rune of Mars,Floral Master,8130,Green Asp,Green Elven Cloak,Blue,Mandrake Potion,8130,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8130.png,Enchanter Diana of the Fey
,Skylord,8131,Giant Ladybug,Dapper Formal,Black,Zephyr's Laugh: the Wind Spell,8131,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8131.png,Archmagus Milo of the Hall
Rune of Saturn,Prophet,8132,Psychic Rabbit,Orange Hip Scarf ,Green,Isaac's Apple,8132,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8132.png,Archmagus Soran of Avalon
,Yellow Wizard,8133,,Orange Caped Traveller,Black,Joy Staff,8133,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8133.png,Alchemist Soran of Arcadia
,"Master of Wood, Water, and Hill",8134,,Blue Lined Coveralls ,Black,Zephyr's Laugh: the Wind Spell,8134,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8134.png,Battle Mage Finn of the Reach
Rune of Earth,Hunter,8135,Green Asp,Wicker Wear,Green,Zephyr's Laugh: the Wind Spell,8135,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8135.png,Aeromancer Herne of the Forest
,Djinn,8136,Emerald Slime,Green Elven Cloak,Black,Jinx Staff,8136,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8136.png,Mystic Ilyas of the Carnival
,Bard,8137,,Shoulder Cape Red,Blue,The Orb Staff,8137,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8137.png,Archmagus Adium of the Belfry
Rune of Lime,Rogue Arcanist,8138,Emerald Slime,Vest Green,Black,Siren's Bell,8138,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8138.png,Bard Voidoth of the Moors
Rune of Neptune,Wildman,8139,Bliss Cat,Jester Diamonds,Red,Green Mushroom,8139,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8139.png,Magus Danny of the Keep
,Prophet,8140,,Double Sash,Blue,Staff,8140,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8140.png,Arch-Magician Lux of the Desert
Rune of Up Only,Myrddin,8141,Jewled Hummingbird,Aristocrat Green,Black,Dryad's Ear: the Plant Spell,8141,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8141.png,Archmagus Ofaris of the Court
Rune of Saturn,Koopling,8142,Sun Cat,Green Scholar,Blue,The Bone Stave,8142,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8142.png,Shadow Mage Froggy of the Tower
Rune of Lime,Death Eater,8143,Albino Rat,Tundra Wear,Red,Vile of Virgin's Blood,8143,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8143.png,Ice Mage Bane of the Ice
Rune of Infinity,Darkling,8144,Forever Bat,Robe of Shadow,Blue,Grim Reaper's Breath: the Death Spell,8144,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8144.png,Void Disciple Voidoth in the Shadows
Rune of Fire,Witch,8145,Plague Rat,Green Cloak,Blue,Red Mushroom,8145,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8145.png,Witch Rita of the Valley
Rune of Pluto,Brown Wizard,8146,Dirt Rabbit,Brown Tunic,Green,A dumb stick...,8146,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8146.png,Sorcerer Cairon of the Cosmos
Rune of Cinnabar,Crone,8147,,Green Hip Pouch,Blue,Ruby Staff,8147,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8147.png,Sage Shivra of the Hollow
Rune of Neptune,Vamp,8148,Ember Frog,Celestial Sash,Red,Salamander's Tongue: the Fire Spell,8148,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8148.png,Shadow Mage Lamia of the Pit
Rune of Lime,Tengu Preist,8149,Ember Frog,Brown Tunic,Black,Ruby Staff,8149,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8149.png,Enchanter Tengukensei of the Quantum Downs
Rune of Sun,Kempo,8150,Blue Rat,Poncho,Blue,Book of Magic,8150,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8150.png,Magus Suyin of the Sands
,Sandman,8151,Field Dog,Banded Overall,Blue,The Mamba Stick,8151,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8151.png,Ghost Eater Ixar of the Quantum Downs
Rune of Sun,Swamp Witch,8152,Lucky Black Cat,Tundra Wear,Green,Caduceus,8152,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8152.png,Adept Rita of the Ice
,Dark Arcanist,8153,,Shoulder Cape Red,Black,Prometheus's Torch,8153,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8153.png,Pyromancer Ali of Avalon
Rune of Venus,Empress,8154,Ember Frog,Red Cleric,Blue,Passion Potion,8154,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8154.png, Katherine of the Sacred Pillars
Rune of Neptune,"Master of Wood, Water, and Hill",8155,Field Dog,Green Lined Coveralls,Black,Grim Reaper's Breath: the Death Spell,8155,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8155.png,Necromancer Hansel of the Moors
Rune of Cinnabar,Empress,8156,Blue Rat,Ice Robe,Blue,Astral Potion,8156,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8156.png,Enchanter Daphne of the Realm
Rune of Mercury,Mambo,8157,Forever Bat,Green Cloak,Green,Lunar Staff,8157,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8157.png,Arcanist Leah of the Heath
Rune of Pluto,Bard,8158,Jewled Hummingbird,Orange Caped Traveller,Blue,Kelpie's Fury: the Water Spell,8158,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8158.png,Archmagus Chandler of the Brambles
Rune of Fire,"Master of Wood, Water, and Hill",8159,Bliss Cat,Overcoat,Green,Nightshade Potion,8159,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8159.png,Alchemist Hothor of the Forest
,Bard,8160,Albino Rat,Dapper Formal,Black,Nightshade Potion,8160,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8160.png,Archmagus Aldo of the Bastion
,Prophet,8161,,Jester Diamonds,Blue,Mandrake Potion,8161,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8161.png,Alchemist Apollo of the Capital
,Djinn,8162,,Blue Elven Cloak,Black,Mandrake Potion,8162,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8162.png,Sorcerer Kamil of the Toadstools
,Medicine Man,8163,Sapphire Slime,Green Lined Coveralls,Green,Guillaume's Broom,8163,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8163.png,Battle Mage Axel of the Brambles
,Medicine Man,8164,,Vest Green,Black,Emerald Staff,8164,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8164.png,Druid Thor of the Hills
Rune of Air,Enchantress,8165,Forever Bat,Purple Yoga ,Green,Ace in the Hole,8165,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8165.png,Clairvoyant Daphne of the Wood
,Sandman,8166,Emerald Slime,Banded Overall,Green,Grim Reaper's Breath: the Death Spell,8166,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8166.png, Milo of the Veil
Rune of Neptune,MachoMan,8167,Golden Toad,Red Coveralls,Blue,Green Mushroom,8167,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8167.png,Magus Nolan of the Riviera
Rune of Down,Pumpkin Head,8168,Green Asp,Brown Tunic,Black,Cannabis Potion,8168,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8168.png,Alchemist Jack of the Psychic Leap
Rune of Air,Canaanite,8169,Giant Ladybug,Green Coveralls,Green,Passion Potion,8169,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8169.png,Alchemist Moloch of the Hills
,Skylord,8170,,Robe of Shadow,Black,Peace Staff,8170,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8170.png,Mystic Davos from the Abyss
,Bard,8171,Albino Rat,Tundra Wear,Black,Peace Staff,8171,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8171.png,Mystic Damien of the Tundra
,Labyrinthian,8172,,Aristocrat Blue,Black,Joy Staff,8172,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8172.png,Adept Apollo of the Hall
,Dream Master,8173,,Green Scholar,Blue,Mandrake Potion,8173,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8173.png,Magus Cosmo of the Mount
,Scholar,8174,Forever Bat,Aristocrat Purple,Black,Nightshade Potion,8174,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8174.png,Alchemist Lumos of the Capital
,Eastern Arcanist,8175,Plague Rat,Dapper Formal,Black,Caduceus,8175,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8175.png,Archmagus Jerret of the Bastion
Rune of Sun,Green Wizard,8176,Red Mamba,Blue Coveralls,Black,Book of Magic,8176,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8176.png,Enchanter Azahl of the Road
,Death Eater,8177,Topaz Slime,Orange Hip Scarf ,Black,Mandrake Potion,8177,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8177.png,Void Disciple Azazel of Elysium
,MachoMan,8178,,Red Coveralls,Black,Joy Staff,8178,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8178.png,Druid Cassius of the Reach
,Yellow Wizard,8179,Albino Rat,Green Coveralls,Blue,Garnet Staff,8179,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8179.png,Hedge Wizard Allistair of the Valley
Rune of Earth,Dark Sister,8180,Blue Rat,Shoulder Cape Green,Red,Egg of Unknown Beast,8180,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8180.png,Hedge Wizard Beyna of the Temple
Rune of Earth,Faustian,8181,Red Mamba,SupaFly,Black,Goblet of Immortality,8181,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8181.png,Archmagus Lumos of the Citadel
Rune of Fire,Empress,8182,Astral Snail,Gold Chain,Blue,Siren's Bell,8182,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8182.png,Enchanter Cybele of El Dorado
,Diviner,8183,,Orange Scholar,Black,Staff,8183,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8183.png,Mystic Casper of Dreams
,Olympian,8184,,Green Scholar,Black,Emerald Staff,8184,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8184.png,Battle Mage Angus of Avalon
,Mandinka,8185,Dirt Rabbit,Double Sash,Green,Wizard's Pipe,8185,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8185.png,Hedge Wizard Ratko of the Desert
,Skylord,8186,,Orange Scholar,Black,Mandrake Potion,8186,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8186.png,Sorcerer Merlon of the Valley
,Professor,8187,,Shoulder Cape Red,Blue,Bag of Tricks,8187,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8187.png,Artificer Uvlius of the Valley
,Creol,8188,,Orange Scholar,Black,Astral Potion,8188,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8188.png,Voodoo Priest Marius of the Havens
,Kobold,8189,Swamp Bullfrog,Blue Big Buckle,Black,Book of Magic,8189,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8189.png,Sorcerer Impy of the Plains
,Dapper Arcanist,8190,,Tech Coat,Black,Prometheus's Torch,8190,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8190.png,Holy Monk Mace of the Quantum Downs
Rune of Water,Flaming Skull,8191,Giant Ladybug,Red Suit,Blue,Dragon Fireworks,8191,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8191.png,Ice Mage Flamos of the Cold
,Yellow Wizard,8192,Onyx Wolf,Grey Tunic,Black,Astral Potion,8192,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8192.png,Archmagus Milton of the Gnostics
,Faustian,8193,Great Owl,White Tunic,Green,Book of Magic,8193,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8193.png,Archmagus Lumos of the Gnostics
,Skylord,8194,,Desert Wear,Black,Fairy Glamour: the Dazzle Spell,8194,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8194.png,Archmagus Aldus of the Rock
,Koopling,8195,Sun Cat,Desert Wear,Black,Key of the 7th Realm,8195,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8195.png,Artificer Pozzik of the Dunes
Rune of Fire,Gruffling,8196,Dirt Rabbit,Double Sash,Green,Ether Staff,8196,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8196.png,Clairvoyant Thor of the Sun
Rune of Neptune,Canaanite,8197,Crackerjack Crow,Blue Coveralls,Black,Ruby Staff,8197,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8197.png,Druid Bullock of the Riviera
Rune of Neptune,White Wizard,8198,Bliss Cat,Tundra Wear,Black,Peace Staff,8198,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8198.png,Ice Mage Zelroth of the Berg
